排名,专业名称,专业层次,专业类别,开设院校,人气值,MBTI,壹心理
756,眼视光技术,专科（高职）,医学技术类,开设院校,10807,ESFJ/ISFJ,研究型
757,核工程与核技术,本科,核工程类,开设院校,10795,INTJ/ISTP,研究型
758,智能产品开发,专科（高职）,电子信息类,开设院校,10788,ISTP/INTP,
759,园林,本科,林学类,开设院校,10703,ISFJ,现实型
760,地质学,本科,地质学类,开设院校,10548,INTJ,研究型
761,环境规划与管理,专科（高职）,环境保护类,开设院校,10310,INTJ/ENTJ,研究型、现实型
762,公安管理学,本科,公安学类,开设院校,10233,ESTP/ISFJ,现实型
763,图书馆学,本科,图书情报与档案管理类,开设院校,10230,INFP,管理型
764,化学生物学,本科,化学类,开设院校,10188,ISTP/INTJ,
765,轮机工程,本科,交通运输类,开设院校,10183,ISTJ/ISTP/INTP,
766,天文学,本科,天文学类,开设院校,10143,ISTP,
767,刑事侦查技术,专科（高职）,司法技术类,开设院校,10126,ESTP/INTJ,现实型、社会型
768,民族学,本科,民族学类,开设院校,10048,INTP,现实型
769,数控技术,专科（高职）,机械设计制造类,开设院校,10012,ISTP,
770,化学工程与工艺,本科,化工与制药类,开设院校,9980,INTJ,研究型
771,应用气象学,本科,大气科学类,开设院校,9915,INTJ,研究型
772,服装设计与工程,本科,纺织类,开设院校,9901,ISTP,
773,西班牙语,本科,外国语言文学类,开设院校,9881,ESTP/INFJ,艺术型
774,动物医学,专科（高职）,畜牧业类,开设院校,9852,INTJ/ESFJ,研究型
775,德语,本科,外国语言文学类,开设院校,9819,ESTP/INFJ,艺术型
776,犯罪学,本科,公安学类,开设院校,9763,ESTP/ISFJ,现实型
777,动画,本科,戏剧与影视学类,开设院校,9634,ENFP/ESFP,艺术型
778,交通工程,本科,交通运输类,开设院校,9533,ISTJ/ISTP/INTP,
779,给排水科学与工程,本科,土木类,开设院校,9478,ISTJ/INTP,研究型
780,过程装备与控制工程,本科,机械类,开设院校,9477,ISTP,
781,针灸推拿学,本科,中医学类,开设院校,9448,ESFJ/ISFJ,研究型
782,军事海洋学,本科,海洋科学类,开设院校,9445,INTJ/ISTJ/ESFJ/ENFP,研究型、现实型
